device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.8792905434339544,all,-100,0,-100,none,auto,svm_rbf,1,1.0011367797851562,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.5935247637272796,all,-100,0,-100,none,scale,svm_rbf,10,1.3230328559875488,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.8802888609832223,all,-100,0,-100,none,auto,svm_rbf,10,1.0093882083892822,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.6076117856260339,all,-100,0,-100,none,scale,svm_rbf,100,1.0917549133300781,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_335,0.8859089483067843,all,-100,0,-100,none,auto,svm_rbf,100,1.0035252571105957,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.6137765892468823,all,-100,0,-100,none,scale,svm_rbf,1000,1.0157811641693115,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,12,WH_C_334,1,WH_C_334,0.8732861268178653,all,-100,0,-100,none,auto,svm_rbf,1000,1.0614440441131592,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.830393388771823,all,-100,0,-100,none,scale,svm_rbf,0.001,1.141653060913086,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.8695456766417529,all,-100,0,-100,none,auto,svm_rbf,0.001,1.303812026977539,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.8379545847145479,all,-100,0,-100,none,scale,svm_rbf,0.01,1.096127986907959,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.8638803881127849,all,-100,0,-100,none,auto,svm_rbf,0.01,1.0209789276123047,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.8164182417894862,all,-100,0,-100,none,scale,svm_rbf,0.1,1.0170869827270508,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_456,0.8736908671942416,all,-100,0,-100,none,auto,svm_rbf,0.1,1.042853832244873,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_456,0.7269703879768641,all,-100,0,-100,none,scale,svm_rbf,1,1.0243558883666992,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_456,0.8505072855502995,all,-100,0,-100,none,auto,svm_rbf,1,1.1193978786468506,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.7304405450247924,all,-100,0,-100,none,scale,svm_rbf,10,1.5325491428375244,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_456,0.8521812398677284,all,-100,0,-100,none,auto,svm_rbf,10,1.681924819946289,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.7068065171703444,all,-100,0,-100,none,scale,svm_rbf,100,1.3214378356933594,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_456,0.8337085659690072,all,-100,0,-100,none,auto,svm_rbf,100,1.055675745010376,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_457,0.7183356979884868,all,-100,0,-100,none,scale,svm_rbf,1000,1.1714198589324951,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,658,WH_C_638,34,WH_C_456,0.8506589018520596,all,-100,0,-100,none,auto,svm_rbf,1000,1.065251111984253,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.7698617146579381,all,-100,0,-100,none,scale,svm_rbf,0.001,1.0416340827941895,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.7993804870833852,all,-100,0,-100,none,auto,svm_rbf,0.001,1.0446209907531738,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.7550931710638711,all,-100,0,-100,none,scale,svm_rbf,0.01,1.0741770267486572,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.8275682548622828,all,-100,0,-100,none,auto,svm_rbf,0.01,1.0618071556091309,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.7824324202106737,all,-100,0,-100,none,scale,svm_rbf,0.1,1.0208969116210938,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.8365562484244558,all,-100,0,-100,none,auto,svm_rbf,0.1,1.0195951461791992,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.6018505967409358,all,-100,0,-100,none,scale,svm_rbf,1,1.0722770690917969,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_458,0.8255631695721012,all,-100,0,-100,none,auto,svm_rbf,1,1.0934019088745117,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.780462150471966,all,-100,0,-100,none,scale,svm_rbf,10,1.0636909008026123,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_458,0.8189460678407484,all,-100,0,-100,none,auto,svm_rbf,10,1.0040531158447266,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.7794728212292066,all,-100,0,-100,none,scale,svm_rbf,100,1.0026602745056152,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_458,0.8211174807457372,all,-100,0,-100,none,auto,svm_rbf,100,0.9864439964294434,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_457,0.7458948008492288,all,-100,0,-100,none,scale,svm_rbf,1000,0.9795746803283691,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,552,WH_C_457,27,WH_C_458,0.8278075068237569,all,-100,0,-100,none,auto,svm_rbf,1000,1.004601240158081,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.8287127893582258,all,-100,0,-100,none,scale,svm_rbf,0.001,1.014625072479248,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_606,0.8839585503413153,all,-100,0,-100,none,auto,svm_rbf,0.001,0.9763150215148926,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.8474197168195667,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9826319217681885,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.8798846949589738,all,-100,0,-100,none,auto,svm_rbf,0.01,0.9925031661987305,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.803682963447626,all,-100,0,-100,none,scale,svm_rbf,0.1,1.0222890377044678,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.8773741631148848,all,-100,0,-100,none,auto,svm_rbf,0.1,0.9918432235717773,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.7372371204617619,all,-100,0,-100,none,scale,svm_rbf,1,0.9953258037567139,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_458,0.8748379203075034,all,-100,0,-100,none,auto,svm_rbf,1,0.9907150268554688,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.6968491300725428,all,-100,0,-100,none,scale,svm_rbf,10,1.0007569789886475,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_458,0.8758701439156328,all,-100,0,-100,none,auto,svm_rbf,10,1.0137138366699219,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_402,0.7616069312442219,all,-100,0,-100,none,scale,svm_rbf,100,1.034080982208252,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,277,WH_C_402,13,WH_C_458,0.8700057877585909,all,-100,0,-100,none,auto,svm_rbf,100,1.055156946182251,False
